id,name,height,weight,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,strong
894,regieleki,12,1450,290,electric,80,100,50,100,50,200,1
981,farigiraf,32,1600,260,normal,120,90,70,110,70,60,1
755,morelull,2,15,57,grass,40,35,55,65,75,15,0
73,tentacruel,16,550,180,water,80,70,65,80,120,100,1
931,squawkabilly-green-plumage,6,24,146,normal,82,96,51,45,51,92,0
223,remoraid,6,120,60,water,35,65,35,65,35,65,0
188,skiploom,6,10,119,grass,55,45,50,45,65,80,0
462,magnezone,12,1800,241,electric,70,70,115,130,90,60,1
204,pineco,6,72,58,bug,50,65,90,35,35,15,0
525,boldore,9,1020,137,rock,70,105,105,50,40,20,0
819,skwovet,3,25,55,normal,70,55,55,35,35,25,0
389,torterra,22,3100,236,grass,95,109,105,75,85,56,1
5,charmeleon,11,190,142,fire,58,64,58,80,65,80,0
340,whiscash,9,236,164,water,110,78,73,76,71,60,0
439,mime-jr,6,130,62,psychic,20,25,45,70,90,60,0
598,ferrothorn,10,1100,171,grass,74,94,131,54,116,20,0
830,eldegoss,5,25,161,grass,60,50,90,80,120,60,0
966,revavroom,18,1200,175,steel,80,119,90,54,67,90,0
616,shelmet,4,77,61,bug,50,40,85,40,65,25,0
450,hippowdon,20,3000,184,ground,108,112,118,68,72,47,1
332,cacturne,13,774,166,grass,70,115,60,115,60,55,0
556,maractus,10,280,161,grass,75,86,67,106,67,60,0
89,muk,12,300,175,poison,105,105,75,65,100,50,0
618,stunfisk,7,110,165,ground,109,66,84,81,99,32,0
718,zygarde-50,50,3050,270,dragon,108,100,121,81,95,95,0
207,gligar,11,648,86,ground,65,75,105,35,65,85,0
185,sudowoodo,12,380,144,rock,70,100,115,30,65,30,0
769,sandygast,5,700,64,ghost,55,55,80,70,45,15,0
663,talonflame,12,245,175,fire,78,81,71,74,69,126,0
591,amoonguss,6,105,162,grass,114,85,70,85,80,30,0
601,klinklang,6,810,234,steel,60,100,115,70,85,90,1
649,genesect,15,825,270,bug,71,120,95,120,95,99,1
68,machamp,16,1300,227,fighting,90,130,80,65,85,55,1
862,obstagoon,16,460,260,dark,93,90,101,60,81,95,1
896,glastrier,22,8000,290,ice,100,145,130,65,110,30,0
843,silicobra,22,76,63,ground,52,57,75,35,50,46,0
160,feraligatr,23,888,239,water,85,105,100,79,83,78,1
762,steenee,7,82,102,grass,52,40,48,40,48,62,0
402,kricketune,10,255,134,bug,77,85,51,55,51,65,0
855,polteageist,2,4,178,ghost,60,65,65,134,114,70,1
713,avalugg,20,5050,180,ice,95,117,184,44,46,28,0
708,phantump,4,70,62,ghost,43,70,48,50,60,38,0
552,krokorok,10,334,123,ground,60,82,45,45,45,74,0
41,zubat,8,75,49,poison,40,45,35,30,40,55,0
213,shuckle,6,205,177,bug,20,10,230,10,230,5,1
553,krookodile,15,963,234,ground,95,117,80,65,70,92,1
811,thwackey,7,140,147,grass,70,85,70,55,60,80,0
23,ekans,20,69,58,poison,35,60,44,40,54,55,0
878,cufant,12,1000,66,steel,72,80,49,40,49,40,0
21,spearow,3,20,52,normal,40,60,30,31,31,70,0
738,vikavolt,15,450,225,bug,77,70,90,145,75,43,0
156,quilava,9,190,142,fire,58,64,58,80,65,80,0
514,simisear,10,280,174,fire,75,98,63,98,63,101,0
692,clauncher,5,83,66,water,50,53,62,58,63,44,0
57,primeape,10,320,159,fighting,65,105,60,60,70,95,0
434,stunky,4,192,66,poison,63,63,47,41,41,74,0
983,kingambit,20,1200,275,dark,100,135,120,60,85,50,1
664,scatterbug,3,25,40,bug,38,35,40,27,25,35,0
588,karrablast,5,59,63,bug,50,75,45,40,45,60,0
1,bulbasaur,7,69,64,grass,45,49,49,65,65,45,0
615,cryogonal,11,1480,180,ice,80,50,50,95,135,105,1
920,lokix,10,175,158,bug,71,102,78,52,55,92,0
118,goldeen,6,150,64,water,45,67,60,35,50,63,0
670,floette,2,9,130,fairy,54,45,47,75,98,52,0
192,sunflora,8,85,149,grass,75,75,55,105,85,30,0
264,linoone,5,325,147,normal,78,70,61,50,61,100,0
863,perrserker,8,280,154,steel,70,110,100,50,60,50,0
568,trubbish,6,310,66,poison,50,50,62,40,62,65,0
817,drizzile,7,115,147,water,65,60,55,95,55,90,0
932,nacli,4,160,56,rock,55,55,75,35,35,25,0
992,iron-hands,18,3807,285,fighting,154,140,108,50,68,50,1
994,iron-moth,12,360,285,fire,80,70,60,140,110,110,1
334,altaria,11,206,172,dragon,75,70,90,70,105,80,0
988,slither-wing,32,920,285,bug,85,135,79,85,105,81,1
841,flapple,3,10,170,grass,70,110,80,95,60,70,0
748,toxapex,7,145,173,poison,50,63,152,53,142,35,0
524,roggenrola,4,180,56,rock,55,75,85,25,25,15,0
891,kubfu,6,120,77,fighting,60,90,60,53,50,72,0
989,sandy-shocks,23,600,285,electric,85,81,97,121,85,101,1
688,binacle,5,310,61,rock,42,52,67,39,56,50,0
